Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
A,5.4966,22000.0,
secret,11.7326,22090.0,
meeting,11.2404,22172.5,
was,3.1307,22210.0,
summoned,10.7001,22527.5,
We,8.3415,22560.0,
must,4.7291,22630.0,
fight,6.7916,22695.0,
back,6.2058,22780.0,
to,6.3665,22792.5,
clear,10.7998,22872.5,
the,1.0345,22895.0,
old,6.8473,22952.5,
mouse,1.9114,23120.0,
If,6.2508,23162.5,
we,1.0838,23187.5,
don,3.1386,23240.0,
stop,6.9214,23315.0,
her,3.0536,23375.0,
none,10.3839,23422.5,
of,0.2615,23447.5,
us,1.1265,23495.0,
will,0.7436,23517.5,
be,2.6642,23555.0,
left,3.9759,23875.0,
He,8.0276,23915.0,
sighed,7.2918,24025.0,
deeply,7.0362,24247.5,
The,3.3108,24272.5,
trouble,13.4953,24355.0,
is,2.9556,24525.0,
we,3.6479,24560.0,
can,3.6995,24627.5,
hear,9.7247,24670.0,
her,1.6726,24707.5,
coming,8.5435,24940.0,
She,2.7816,24997.5,
silent,8.0181,25162.5,
invisible,10.8368,25472.5,
until,9.6177,25555.0,
it,6.467,25605.0,
too,0.3942,25652.5,
late,0.0154,26082.5,
I,5.2462,26110.0,Low 
have,4.4183,26160.0,
an,6.8543,26182.5,
idea,0.5821,26297.5,
said,9.2606,26352.5,
the,0.9229,26367.5,
young,4.888,26430.0,
mouse,0.2348,26635.0,
Let,6.1766,26700.0,
put,6.3329,26745.0,
a,2.863,26757.5,
bell,12.2766,26827.5,
on,2.0253,26857.5,
her,3.0545,26892.5,
collar,7.1262,27115.0,
Then,5.4574,27172.5,
we,2.193,27205.0,
hear,4.4346,27255.0,
her,0.8273,27287.5,
coming,5.432,27615.0,
The,3.5769,27645.0,
mice,5.9506,27717.5,
looked,6.6831,27767.5,
at,1.7282,27792.5,
each,0.9283,27842.5,
other,0.0347,28075.0,
That,7.5899,28115.0,
could,7.6017,28157.5,
work,5.5613,28232.5,
said,1.7685,28287.5,
one,5.7615,28340.0,
quietly,13.142,28550.0,
The,2.8296,28607.5,
others,6.7369,28665.0,
nodded,3.3735,28867.5,
It,4.9183,28910.0,
seemed,5.3358,28985.0,
like,2.3935,29030.0,
a,2.0093,29057.5,
good,2.3989,29152.5,
simple,3.9594,29255.0,
plan,2.5808,29607.5,
They,3.8353,29652.5,High 
scrambled,11.295,29795.0,
into,5.0041,29837.5,
action,5.3971,30187.5,
A,5.0163,30222.5,
group,6.9425,30307.5,
discovered,13.4893,30430.0,
a,2.2907,30450.0,
small,4.1895,30535.0,
bell,12.1825,30717.5,
r,10.434,30867.5,
but,5.6212,30912.5,
usable,11.0293,31242.5,
Another,8.0267,31357.5,
brought,9.7878,31432.5,
string,15.258,31535.0,
from,4.0718,31582.5,
a,2.1662,31595.0,
scare,17.2108,31757.5,
trousers,16.5507,32015.0,
Perfect,15.799,32150.0,
the,9.7144,32170.0,
young,5.8027,32232.5,
mouse,0.1874,32302.5,
bell,13.247,32535.0,
Tonight,13.5932,32650.0,
we,2.5848,32692.5,
end,12.8961,32755.0,
this,4.1375,32970.0,
No,6.8811,33035.0,
more,2.0458,33082.5,
mice,1.7314,33147.5,
will,5.2964,33172.5,
disappear,6.9128,33515.0,
The,3.009,33547.5,
barn,10.5937,33642.5,
erupted,10.5974,33715.0,
in,1.4943,33772.5,
cheers,2.6606,34225.0,
While,10.7767,34272.5,Low
the,1.4241,34295.0,
mice,3.0558,34370.0,
were,2.9532,34397.5,
talking,6.5019,34525.0,
the,1.9779,34557.5,
old,1.9358,34632.5,
mouse,0.4752,34735.0,
spoke,7.2682,34827.5,
in,4.7653,34855.0,
a,1.4532,34872.5,
quiet,5.4383,34970.0,
voice,0.4213,35275.0,
There,7.4614,35337.5,
is,4.6105,35372.5,
one,5.2852,35425.0,
more,2.405,35465.0,
thing,2.648,35527.5,
he,6.9168,35562.5,
said,3.4689,35837.5,
Who,9.3566,35885.0,
will,3.821,35932.5,
put,7.4352,35977.5,
the,2.0837,35995.0,
bell,1.848,36070.0,
on,0.7611,36102.5,
the,1.9572,36120.0,
cat,5.1176,36432.5,
The,2.617,36462.5,
mice,6.9213,36545.0,
stopped,7.3129,36632.5,
talking,2.8366,36902.5,
No,5.2924,36950.0,
one,1.4133,36990.0,
said,5.4332,37050.0,
anything,1.3691,37222.5,
It,4.8777,37372.5,
is,5.063,37397.5,
easy,7.9763,37457.5,
to,0.6192,37527.5,
think,5.4478,37550.0,
of,2.396,37610.0,
ideas,10.8881,37632.5,
he,5.7564,37760.0,
said,0.9987,37797.5,
Doing,13.8194,38047.5,
them,6.8277,38070.0,
can,6.2285,38130.0,
be,2.1202,38192.5,
harder,7.6886,38242.5,
