Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
meeting,11.2404,8869.0,
was,3.1307,8884.0,
summoned,10.7001,9011.0,
We,8.3415,9024.0,
must,4.7291,9052.0,
fight,6.7916,9078.0,
back,6.2058,9112.0,
to,6.3665,9117.0,
clear,10.7998,9149.0,
the,1.0345,9158.0,
old,6.8473,9181.0,
mouse,1.9114,9248.0,
If,6.2508,9265.0,
we,1.0838,9275.0,
don,3.1386,9296.0,
stop,6.9214,9326.0,
her,3.0536,9350.0,
none,10.3839,9369.0,
of,0.2615,9379.0,
us,1.1265,9398.0,
will,0.7436,9407.0,
be,2.6642,9422.0,
left,3.9759,9550.0,
He,8.0276,9566.0,
sighed,7.2918,9610.0,
deeply,7.0362,9699.0,
The,3.3108,9709.0,
trouble,13.4953,9742.0,
is,2.9556,9810.0,
we,3.6479,9824.0,
can,3.6995,9851.0,
hear,9.7247,9868.0,
her,1.6726,9883.0,
coming,8.5435,9976.0,
She,2.7816,9999.0,
silent,8.0181,10065.0,
invisible,10.8368,10189.0,
until,9.6177,10222.0,
it,6.467,10242.0,
too,0.3942,10261.0,
late,0.0154,10433.0,
I,5.2462,10444.0,Low 
have,4.4183,10464.0,
an,6.8543,10473.0,
idea,0.5821,10519.0,
said,9.2606,10541.0,
the,0.9229,10547.0,
young,4.888,10572.0,
mouse,0.2348,10654.0,
Let,6.1766,10680.0,
put,6.3329,10698.0,
a,2.863,10703.0,
bell,12.2766,10731.0,
on,2.0253,10743.0,
her,3.0545,10757.0,
collar,7.1262,10846.0,
Then,5.4574,10869.0,
we,2.193,10882.0,
hear,4.4346,10902.0,
her,0.8273,10915.0,
coming,5.432,11046.0,
The,3.5769,11058.0,
mice,5.9506,11087.0,
looked,6.6831,11107.0,
at,1.7282,11117.0,
each,0.9283,11137.0,
other,0.0347,11230.0,
That,7.5899,11246.0,
could,7.6017,11263.0,
work,5.5613,11293.0,
said,1.7685,11315.0,
one,5.7615,11336.0,
quietly,13.142,11420.0,
The,2.8296,11443.0,
others,6.7369,11466.0,
nodded,3.3735,11547.0,
It,4.9183,11564.0,
seemed,5.3358,11594.0,
like,2.3935,11612.0,
a,2.0093,11623.0,
good,2.3989,11661.0,
simple,3.9594,11702.0,
plan,2.5808,11843.0,
They,3.8353,11861.0,High 
scrambled,11.295,11918.0,
into,5.0041,11935.0,
action,5.3971,12075.0,
A,5.0163,12089.0,
group,6.9425,12123.0,
discovered,13.4893,12172.0,
a,2.2907,12180.0,
small,4.1895,12214.0,
bell,12.1825,12287.0,
r,10.434,12347.0,
but,5.6212,12365.0,
usable,11.0293,12497.0,
Another,8.0267,12543.0,
brought,9.7878,12573.0,
string,15.258,12614.0,
from,4.0718,12633.0,
a,2.1662,12638.0,
scare,17.2108,12703.0,
trousers,16.5507,12806.0,
Perfect,15.799,12860.0,
the,9.7144,12868.0,
young,5.8027,12893.0,
mouse,0.1874,12921.0,
bell,13.247,13014.0,
Tonight,13.5932,13060.0,
we,2.5848,13077.0,
end,12.8961,13102.0,
this,4.1375,13188.0,
No,6.8811,13214.0,
more,2.0458,13233.0,
mice,1.7314,13259.0,
will,5.2964,13269.0,
disappear,6.9128,13406.0,
The,3.009,13419.0,
barn,10.5937,13457.0,
erupted,10.5974,13486.0,
in,1.4943,13509.0,
cheers,2.6606,13690.0,
While,10.7767,13709.0,Low
the,1.4241,13718.0,
mice,3.0558,13748.0,
were,2.9532,13759.0,
talking,6.5019,13810.0,
the,1.9779,13823.0,
old,1.9358,13853.0,
mouse,0.4752,13894.0,
spoke,7.2682,13931.0,
in,4.7653,13942.0,
a,1.4532,13949.0,
quiet,5.4383,13988.0,
voice,0.4213,14110.0,
There,7.4614,14135.0,
is,4.6105,14149.0,
one,5.2852,14170.0,
more,2.405,14186.0,
thing,2.648,14211.0,
he,6.9168,14225.0,
said,3.4689,14335.0,
Who,9.3566,14354.0,
will,3.821,14373.0,
put,7.4352,14391.0,
the,2.0837,14398.0,
bell,1.848,14428.0,
on,0.7611,14441.0,
the,1.9572,14448.0,
cat,5.1176,14573.0,
The,2.617,14585.0,
mice,6.9213,14618.0,
stopped,7.3129,14653.0,
talking,2.8366,14761.0,
No,5.2924,14780.0,
one,1.4133,14796.0,
said,5.4332,14820.0,
anything,1.3691,14889.0,
It,4.8777,14949.0,
is,5.063,14959.0,
easy,7.9763,14983.0,
to,0.6192,15011.0,
think,5.4478,15020.0,
of,2.396,15044.0,
ideas,10.8881,15053.0,
he,5.7564,15104.0,
said,0.9987,15119.0,
Doing,13.8194,15219.0,
them,6.8277,15228.0,
can,6.2285,15252.0,
be,2.1202,15277.0,
harder,7.6886,15297.0,
