story,token,surprisal,label
The fox story.txt,ethy,5.767134986191019,high_surprisal
The fox story.txt,sts,0.013609429373649342,high_surprisal
The fox story.txt,Ġagainst,8.307568920386279,high_surprisal
The fox story.txt,Ġthe,0.6449573311048179,high_surprisal
The fox story.txt,Ġlush,10.885114047783068,high_surprisal
The fox story.txt,Ġgreen,3.0961888390696704,high_surprisal
The fox story.txt,Ġof,2.099485179099839,high_surprisal
The fox story.txt,Ġthe,0.5453845459570458,high_surprisal
The fox story.txt,Ġleaves,6.799552888352508,high_surprisal
The fox story.txt,.,0.44804278856227825,high_surprisal
The fox story.txt,ĠThey,5.256083540971263,high_surprisal
The fox story.txt,Ġseemed,5.404252407453832,high_surprisal
The fox story.txt,Ġalmost,6.721563161650229,high_surprisal
The fox story.txt,Ġsurreal,9.199118658900906,high_surprisal
The fox story.txt,",",1.7261780840682677,high_surprisal
The fox story.txt,Ġeach,10.472240600898296,high_surprisal
The fox story.txt,Ġgrape,9.294184343089558,high_surprisal
The fox story.txt,Ġcatching,11.391028166758199,high_surprisal
The fox story.txt,Ġthe,2.3289589527214076,high_surprisal
The fox story.txt,Ġsunlight,4.318375956207868,high_surprisal
The fox story.txt,Ġlike,3.9828391949350204,high_surprisal
The fox story.txt,Ġa,0.811625158435372,high_surprisal
The fox story.txt,Ġpolished,12.119234193182773,high_surprisal
The fox story.txt,Ġgem,6.024921035906801,high_surprisal
The fox story.txt,.,1.3046473320294296,high_surprisal
The fox story.txt,ĠThe,3.980247761469885,high_surprisal
The fox story.txt,Ġfox,13.906458801047181,high_surprisal
The fox story.txt,Ġcalculated,17.51208994075672,high_surprisal
The fox story.txt,Ġhis,3.0887612709472303,high_surprisal
The fox story.txt,Ġapproach,5.782059159133386,high_surprisal
The fox story.txt,",",2.115372971036151,high_surprisal
The fox story.txt,Ġanalyzing,12.259729454423358,high_surprisal
The fox story.txt,Ġthe,1.283029968614706,high_surprisal
The fox story.txt,Ġangle,7.425012963265791,high_surprisal
The fox story.txt,Ġof,1.3116327157200933,high_surprisal
The fox story.txt,Ġthe,1.0780622055479454,high_surprisal
The fox story.txt,Ġvine,3.146972534132288,high_surprisal
The fox story.txt,Ġand,2.9803621060882692,high_surprisal
The fox story.txt,Ġhow,5.763583264002117,high_surprisal
The fox story.txt,Ġagile,15.123878887382054,high_surprisal
The fox story.txt,Ġand,5.304141439537211,high_surprisal
The fox story.txt,Ġflexible,6.694771666691936,high_surprisal
The fox story.txt,Ġhis,5.015262213757037,high_surprisal
The fox story.txt,Ġmuscles,10.053288227160364,high_surprisal
The fox story.txt,Ġfelt,7.216581566511247,high_surprisal
The fox story.txt,.,0.974017653369778,high_surprisal
The fox story.txt,ĠWith,7.094729978055549,high_surprisal
The fox story.txt,Ġa,1.8565205592238816,high_surprisal
The fox story.txt,Ġleap,9.493446527249104,high_surprisal
The fox story.txt,Ġthat,6.03041164673213,high_surprisal
The fox story.txt,Ġfelt,5.0608351167051495,high_surprisal
The fox story.txt,Ġalmost,4.913628224487362,high_surprisal
The fox story.txt,Ġchore,12.283372357755322,high_surprisal
The fox story.txt,ographed,0.08881330582592135,high_surprisal
The fox story.txt,",",0.26629209603885595,high_surprisal
The fox story.txt,Ġhe,0.6692976696372457,high_surprisal
The fox story.txt,Ġsnapped,9.018635755606384,high_surprisal
The fox story.txt,Ġhis,2.546677237296852,high_surprisal
The fox story.txt,Ġjaws,8.269436887071164,high_surprisal
The fox story.txt,Ġat,8.350632414581236,high_surprisal
The fox story.txt,Ġthe,0.4307750504761164,high_surprisal
The fox story.txt,Ġgrapes,4.823623356702403,high_surprisal
The fox story.txt,",",2.010308144458718,high_surprisal
The fox story.txt,Ġhis,5.940867151058446,high_surprisal
The fox story.txt,Ġmovements,10.398415873317354,high_surprisal
The fox story.txt,Ġprecise,10.296766709132815,high_surprisal
The fox story.txt,Ġbut,4.652589087023222,high_surprisal
The fox story.txt,Ġfutile,10.222855974712994,high_surprisal
The fox story.txt,.,0.6071601066489384,high_surprisal
The fox story.txt,ĠThe,3.0386392466613388,high_surprisal
The fox story.txt,Ġelusive,14.474980845795452,high_surprisal
