Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
A,,60.0,Low
fox,16.4503173828125,70.0,
was,5.15307521820068,113.0,
walking,7.24704122543335,130.0,
through,4.04427909851074,173.0,
a,2.1816394329071,197.0,
vine,10.070671081543,200.0,
on,4.00733518600464,244.0,
a,2.33934426307678,258.0,
hot,5.07542753219605,262.0,
summer,1.27216589450836,292.0,
day,1.05183756351471,323.0,
His,5.08273410797119,400.0,
stomach,9.16020679473877,418.0,
grow,8.93110847473145,466.0,
loudly,5.91330146789551,510.0,
and,1.57419741153717,571.0,
his,2.89994311332703,585.0,
tongue,7.62022352218628,600.0,
felt,7.83780527114868,629.0,
dry,7.03137922286987,652.0,
He,2.14322209358215,729.0,
was,3.81376194953919,744.0,
thirsty,7.2061972618103,762.0,
and,3.22652244567871,813.0,
hungry,2.89640522003174,823.0,
looking,9.49148464202881,881.0,
for,1.87754023075104,912.0,
something,1.7314453125,923.0,
to,0.843238592147827,960.0,
eat,1.15541923046112,969.0,
As,5.94050884246826,1064.0,
he,0.794022977352142,1081.0,
walked,3.37802720069885,1092.0,
he,1.33085751533508,1127.0,
saw,3.50556325912476,1145.0,
some,6.66323947906494,1167.0,
ripe,10.9120683670044,1191.0,
purple,11.0009346008301,1236.0,
grapes,5.7597393989563,1261.0,
hanging,5.80906820297241,1303.0,
from,1.37095367908478,1345.0,
a,1.67505443096161,1363.0,
vine,2.78116035461426,1370.0,
They,5.24364471435547,1452.0,
looked,4.24014329910278,1468.0,
big,8.965012550354,1493.0,
juicy,6.5855016708374,1533.0,
and,0.433169215917587,1577.0,
sweet,5.83303594589233,1593.0,
in,5.97507190704346,1631.0,
the,2.99731850624084,1647.0,
bright,7.46885681152344,1657.0,
sunlight,1.73374438285828,1691.0,
The,3.5091769695282,1796.0,
fox,4.25132751464844,1810.0,
l,9.76366138458252,1845.0,
his,1.34949672222137,1871.0,
lips,0.266374945640564,1891.0,
excited,10.1592121124268,1928.0,
by,4.40682554244995,1981.0,
the,0.490653067827225,1997.0,
sight,2.84591102600098,2009.0,
Ah,13.8058414459229,2102.0,
just,8.41308116912842,2136.0,
what,3.2691912651062,2171.0,
I,4.5184440612793,2183.0,
need,4.43362236022949,2193.0,
he,3.75519132614136,2218.0,
said,3.50091290473938,2235.0,
But,6.76766300201416,2311.0,High
as,5.88335084915161,2324.0,
he,0.529345214366913,2343.0,
approached,5.954176902771,2354.0,
the,1.3465793132782,2414.0,
grapes,3.51328825950623,2423.0,
he,1.15010070800781,2462.0,
realized,4.606614112854,2479.0,
they,3.31004548072815,2529.0,
hung,13.2192678451538,2543.0,
sideways,12.004903793335,2569.0,
above,8.10509967803955,2618.0,
shimmer,13.9052896499634,2694.0,
like,3.42167258262634,2742.0,
am,11.7896747589111,2762.0,
against,9.33123016357422,2836.0,
the,0.610838532447815,2877.0,
lush,10.0011053085327,2886.0,
green,1.7074875831604,2919.0,
of,3.22966527938843,2953.0,
the,0.336448132991791,2965.0,
leaves,6.41174411773682,2976.0,
They,4.45927953720093,3087.0,
seemed,5.44240093231201,3102.0,
almost,7.16075611114502,3135.0,
surreal,10.6377201080322,3170.0,
each,10.8530626296997,3251.0,
grape,6.57607555389404,3277.0,
catching,11.2150659561157,3304.0,
the,2.01171064376831,3341.0,
sunlight,4.73523044586182,3351.0,
like,3.88028001785278,3391.0,
a,0.735075950622559,3408.0,
polished,11.6651878356934,3415.0,
gem,5.34413814544678,3477.0,
The,2.92838788032532,3586.0,
fox,1.75494706630707,3598.0,
calculated,15.4006252288818,3631.0,
his,3.10278224945068,3694.0,
approach,6.22706508636475,3713.0,
analyzing,12.3969030380249,3803.0,
the,1.18679106235504,3862.0,
angle,8.20758533477783,3875.0,
of,1.19578790664673,3911.0,
the,0.903268337249756,3920.0,
vine,1.84848737716675,3929.0,
and,3.00929808616638,3969.0,
how,5.74137115478516,3981.0,
agile,15.0231628417969,4024.0,
and,5.53711366653442,4081.0,
flexible,6.43001842498779,4092.0,
his,5.76278686523438,4136.0,
muscles,9.00228023529053,4155.0,
felt,7.73825883865356,4195.0,
With,6.81415224075317,4290.0,
the,4.16818380355835,4307.0,
leap,9.60708236694336,4315.0,
that,5.81586170196533,4338.0,
felt,10.0142021179199,4366.0,
almost,7.54019689559937,4396.0,
chore,12.5844097137451,4437.0,
he,0.626460909843445,4517.0,
snapped,9.8363847732544,4540.0,
his,1.70551431179047,4576.0,
jaws,7.75338935852051,4595.0,
at,8.62121963500977,4630.0,
the,0.334112584590912,4642.0,
grapes,2.9116108417511,4651.0,
his,6.07722902297974,4697.0,
movements,10.6455078125,4725.0,
precise,10.5686664581299,4770.0,
but,5.39113426208496,4821.0,
futile,10.1634168624878,4838.0,
The,2.76198554039001,4958.0,
elusive,14.8866662979126,4971.0,
fruit,3.5772647857666,5034.0,
t,9.13994884490967,5092.0,
him,0.750735402107239,5122.0,
as,5.92659378051758,5158.0,
though,3.02197313308716,5180.0,
held,13.316614151001,5198.0,
by,4.41926050186157,5228.0,
some,2.7786021232605,5242.0,
invisible,4.87639379501343,5265.0,
force,0.930201411247253,5320.0,
The,2.7990984916687,5429.0,Low
fox,0.753801167011261,5443.0,
tried,6.54979753494263,5479.0,
again,4.06871366500855,5506.0,
This,3.46772503852844,5622.0,
time,0.0119690475985407,5645.0,
he,2.23767137527466,5673.0,
jumped,7.50229454040527,5684.0,
higher,5.73086071014404,5707.0,
stretching,12.4145221710205,5755.0,
his,1.32799410820007,5799.0,
paws,9.0223798751831,5816.0,
toward,7.37104368209839,5853.0,
the,0.18496461212635,5881.0,
vine,1.98400628566742,5888.0,
But,4.70627641677856,5989.0,
still,7.85461616516113,6006.0,
he,2.81330275535584,6042.0,
could,3.78431820869446,6060.0,
not,0.312980830669403,6081.0,
